uniprot_id	protein	sector	sector_short
Q9ZF31	Translation initiation factor IF-2	Translation and protein homeostasis	Rib
Q9ZFU7	HTH-type DNA-binding transcriptional activator EutR	Other	Oth
H9L443	Thiol:disulfide interchange protein	Lipid and cell wall metabolism	Lpb
H9L451	Outer membrane protein assembly factor BamB	Lipid and cell wall metabolism	Lpb
H9L452	Membrane fusion protein family protein	Transport	Tra
H9L461	Sigma-E factor regulatory protein RseB	Other	Oth
H9L463	Replicative helicase loader DnaC	Other	Oth
H9L479	Outer membrane esterase	Lipid and cell wall metabolism	Lpb
H9L4A4	Fimbrial outer membrane usher	Flagellum and motility including its regulation	Fla
H9L4B7	Pilin	Flagellum and motility including its regulation	Fla
O33787	Uncharacterized inner membrane Transporter YicL	Transport	Tra
O33789	ECA polysaccharide chain length modulation protein	Lipid and cell wall metabolism	Lpb
O52714	DNA replication terminus site-binding protein (Ter-binding protein)	Other	Oth
O54294	Probable csgAB operon transcriptional regulatory protein	Other	Oth
O87574	Endoribonuclease YbeY (EC 3.1.-.-)	Translation and protein homeostasis	Rib
P03022	Arabinose operon regulatory protein	Other	Oth
P03054	trp operon leader peptide	Translation and protein homeostasis	Rib
P03062	leu operon leader peptide (leu operon attenuator peptide)	Translation and protein homeostasis	Rib
P06203	Met repressor (Met regulon regulatory protein MetJ)	Other	Oth
P0A189	Threonine/serine Transporter ThrP (Threonine/serine:H(+) symporter ThrP)	Transport	Tra
P0A1D9	Cold shock-like protein CspH	Translation and protein homeostasis	Rib
P0A1E5	Major curlin subunit (Fimbrin SEF17)	Flagellum and motility including its regulation	Fla
P0A1E8	Minor curlin subunit (Fimbrin SEF17 minor subunit)	Flagellum and motility including its regulation	Fla
P0A1F4	Inner membrane protein YghB	Other	Oth
P0A1G3	Virulence protein MsgA	Other	Oth
P0A1G5	RNA polymerase-binding transcription factor DksA	Other	Oth
P0A1H1	Protein-disulfide oxidoreductase DsbI	Translation and protein homeostasis	Rib
P0A1H3	Elongation factor G (EF-G)	Translation and protein homeostasis	Rib
P0A1L7	Surface presentation of antigens protein SpaQ	Flagellum and motility including its regulation	Fla
P0A1N0	Surface presentation of antigens protein SpaK (Class 1B type III secretion system chaperone SpaK) (Invasion protein InvB)	Flagellum and motility including its regulation	Fla
P0A1N6	Flavodoxin 2	Electron Transport chain	Etc
P0A1P8	Glutaredoxin 1 (Grx1)	Translation and protein homeostasis	Rib
P0A1S8	Putative HNH nuclease YajD (EC 3.1.-.-)	Other	Oth
P0A1T2	Large ribosomal RNA subunit accumulation protein YceD (23S rRNA accumulation protein YceD) (G30K)	Translation and protein homeostasis	Rib
P0A1T6	LPS-assembly lipoprotein LptM	Lipid and cell wall metabolism	Lpb
P0A1U0	Medium/long-chain acyl-CoA thioesterase YigI (EC 3.1.2.20)	Lipid and cell wall metabolism	Lpb
P0A1U2	Biotin Transporter	Transport	Tra
P0A1U6	Regulator of ribonuclease activity B	Translation and protein homeostasis	Rib
P0A1X0	Outer membrane lipoprotein SlyB	Lipid and cell wall metabolism	Lpb
P0A1X8	Large-conductance mechanosensitive channel	Transport	Tra
P0A1Z6	Bacterioferritin-associated ferredoxin	Electron Transport chain	Etc
P0A1Z8	Curli assembly protein CsgC	Flagellum and motility including its regulation	Fla
P0A200	Curli production assembly/Transport component CsgE	Flagellum and motility including its regulation	Fla
P0A202	Curli production assembly/Transport component CsgF	Flagellum and motility including its regulation	Fla
P0A204	Curli production assembly/Transport component CsgG	Flagellum and motility including its regulation	Fla
P0A212	DNA gyrase inhibitor	Other	Oth
P0A235	O-antigen polymerase (EC 2.4.99.27)	Lipid and cell wall metabolism	Lpb
P0A241	Cell division inhibitor SulA	Other	Oth
P0A261	Nucleoside-specific channel-forming protein Tsx	Transport	Tra
P0A265	Peptidyl-prolyl cis-trans isomerase C (PPIase C) (EC 5.2.1.8) (Parvulin) (Rotamase C)	Translation and protein homeostasis	Rib
P0A279	Protein PsiE (Mig-7)	Other	Oth
P0A287	Peptide chain release factor 1 (RF-1)	Translation and protein homeostasis	Rib
P0A289	Peptide chain release factor 2 (RF-2)	Translation and protein homeostasis	Rib
P0A293	Ribosomal protein uL3 glutamine methyltransferase (uL3 MTase) (EC 2.1.1.298) (N5-glutamine methyltransferase PrmB)	Translation and protein homeostasis	Rib
P0A2B5	Ribosome maturation factor RimM	Translation and protein homeostasis	Rib
P0A2B7	DNA recombination protein RmuC	Other	Oth
P0A2D1	Oxidoreductase UcpA (EC 1.-.-.-)	Electron Transport chain	Etc
P0A2D7	HTH-type transcriptional regulatory protein TyrR	Other	Oth
P0A2G5	Sialic acid Transporter NanT (Sialic acid permease) (Sialic acid/H(+) symporter)	Transport	Tra
P0A2G7	Uncharacterized protein YciH	Other	Oth
P0A2J9	Trk system potassium uptake protein TrkA (K(+)-uptake protein TrkA)	Transport	Tra
P0A2K9	Uncharacterized Nudix hydrolase NudL (EC 3.6.1.-)	Other	Oth
P0A2L3	Magnesium and cobalt efflux protein CorC	Transport	Tra
P0A2L5	UPF0056 inner membrane protein MarC	Other	Oth
P0A2L9	Protein SirB1	Other	Oth
P0A2M1	Transcriptional repressor NrdR	Other	Oth
P0A2N4	Inner membrane Transporter YjeM	Transport	Tra
P0A2N8	Der GTPase-activating protein YihI	Translation and protein homeostasis	Rib
P0A2Q0	HTH-type transcriptional regulator HdfR (H-NS-dependent flhDC regulator)	Other	Oth
P0A2T4	Multiple antibiotic resistance protein MarR	Other	Oth
P0A6R6	DNA-binding protein Fis	Other	Oth
P0A8B8	Nucleoid-associated protein YbaB	Other	Oth
P0A8C9	Putative membrane protein insertion efficiency factor	Translation and protein homeostasis	Rib
P0A9X6	Cell shape-determining protein MreB	Lipid and cell wall metabolism	Lpb
P0A9Y2	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	Translation and protein homeostasis	Rib
P0A9Y9	Cold shock-like protein CspC (CSP-C)	Translation and protein homeostasis	Rib
P0AA02	Transcription termination/antitermination protein NusG	Translation and protein homeostasis	Rib
P0CL01	Cold shock-like protein CspJ	Translation and protein homeostasis	Rib
P0CL04	Threonine/homoserine exporter RhtA	Transport	Tra
P0CL09	Transcriptional regulator sirC	Other	Oth
P0CL10	Pyruvate dehydrogenase complex repressor	Other	Oth
P0CL11	HTH-type transcriptional regulator GalR (Galactose operon repressor)	Other	Oth
P0CL12	HTH-type transcriptional regulator MlrA (MerR-like regulator A)	Other	Oth
P0CL13	Intracellular growth attenuator protein IgaA	Other	Oth
P0CL16	Chaperone protein SicP	Translation and protein homeostasis	Rib
P0CL46	Formate hydrogenlyase transcriptional activator	Electron Transport chain	Etc
P0CL48	Ferrioxamine B receptor	Transport	Tra
P12673	Sulfate Transporter CysZ	Transport	Tra
P17430	Acetate operon repressor	Other	Oth
P22494	Protein UmuC	Other	Oth
P24520	Nicotinamide riboside Transporter PnuC	Transport	Tra
P25926	Nitrite Transporter NirC	Transport	Tra
P25927	Putative surface-exposed virulence protein BigA	Other	Oth
P26400	Putative O-antigen Transporter	Transport	Tra
P26478	Maltose operon periplasmic protein	Transport	Tra
P26983	Ribosome hibernation promoting factor (HPF) (Hibernation factor HPF)	Translation and protein homeostasis	Rib
P27135	L-rhamnose-proton symporter (L-rhamnose-H(+) Transport protein)	Transport	Tra
P30752	Outer-membrane lipoprotein LolB	Lipid and cell wall metabolism	Lpb
P33027	Sugar efflux Transporter B	Transport	Tra
P33321	Translation initiation factor IF-3	Translation and protein homeostasis	Rib
P35671	Invasion protein InvE	Flagellum and motility including its regulation	Fla
P36245	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	Translation and protein homeostasis	Rib
P36674	HTH-type transcriptional regulator TreR (Trehalose operon repressor)	Other	Oth
P37168	Putative oxidoreductase YceM (EC 1.-.-.-)	Electron Transport chain	Etc
P37174	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK (EC 4.2.-.-)	Translation and protein homeostasis	Rib
P37415	Recombination-promoting nuclease pSLT051 (EC 3.1.21.-)	Other	Oth
P37444	Trp operon repressor	Other	Oth
P37458	Probable ECA polymerase	Lipid and cell wall metabolism	Lpb
P37459	Probable HTH-type transcriptional regulator SinR	Other	Oth
P37460	Proline-specific permease ProY	Transport	Tra
P37592	Outer membrane porin protein OmpD	Transport	Tra
P37594	Methyl viologen resistance protein SmvA	Transport	Tra
P37722	Esterase FrsA (EC 3.1.1.1)	Carbon metabolism	Cbn
P37723	Osmotically-inducible lipoprotein B	Lipid and cell wall metabolism	Lpb
P37922	Fimbrin-like protein FimI	Flagellum and motility including its regulation	Fla
P37923	Chaperone protein FimC	Flagellum and motility including its regulation	Fla
P37924	Outer membrane usher protein FimD	Flagellum and motility including its regulation	Fla
P37925	Type 1 fimbrin D-mannose specific adhesin (Protein FimH)	Flagellum and motility including its regulation	Fla
P37926	Fimbrial-like protein FimF	Flagellum and motility including its regulation	Fla
P40612	Surface presentation of antigens protein SpaM (Invasion protein InvI)	Flagellum and motility including its regulation	Fla
P40613	Surface presentation of antigens protein SpaN (Invasion protein InvJ)	Flagellum and motility including its regulation	Fla
P40677	Peptidyl-lysine N-acetyltransferase YjaB (EC 2.3.1.-) (KAT)	Translation and protein homeostasis	Rib
P40700	Surface presentation of antigens protein SpaP	Flagellum and motility including its regulation	Fla
P40701	Surface presentation of antigens protein SpaR	Flagellum and motility including its regulation	Fla
P40702	Surface presentation of antigens protein SpaS	Flagellum and motility including its regulation	Fla
P40730	Putative inorganic phosphate export protein YjbB	Transport	Tra
P40783	Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta-crystallin homolog protein)	Electron Transport chain	Etc
P40788	Uncharacterized isomerase YddE (EC 5.1.-.-)	Other	Oth
P40812	L-asparagine permease (L-asparagine Transport protein)	Transport	Tra
P40862	Proline/betaine Transporter (Proline porter II) (PPII)	Transport	Tra
P41030	HTH-type transcriptional regulator GalS (Mgl repressor and galactose ultrainduction factor)	Other	Oth
P41783	Protein PrgH	Flagellum and motility including its regulation	Fla
P41786	Lipoprotein PrgK	Flagellum and motility including its regulation	Fla
P43660	Long polar fimbria protein A	Flagellum and motility including its regulation	Fla
P43663	Protein LpfD	Flagellum and motility including its regulation	Fla
P43664	Protein LpfE	Flagellum and motility including its regulation	Fla
P50335	Protein YhjJ	Other	Oth
P52619	Repressor of phase 1 flagellin gene	Flagellum and motility including its regulation	Fla
P55890	Thiol:disulfide interchange protein DsbC	Translation and protein homeostasis	Rib
P56978	Iron-sulfur cluster assembly protein CyaY	Electron Transport chain	Etc
P58509	HTH-type transcriptional regulator ArgP	Other	Oth
P58531	Probable sugar efflux Transporter	Transport	Tra
P58535	Putative aminopeptidase SgcX (EC 3.4.11.-)	Translation and protein homeostasis	Rib
P58586	Putative gluconeogenesis factor	Carbon metabolism	Cbn
P58614	Surface composition regulator	Other	Oth
P60190	Protein SprT	Other	Oth
P60317	RNA chaperone ProQ	Translation and protein homeostasis	Rib
P60636	UPF0299 membrane protein YohJ	Other	Oth
P60829	Dual-action ribosomal maturation protein DarP (Large ribosomal subunit assembly factor DarP)	Translation and protein homeostasis	Rib
P61351	Protein YceI	Other	Oth
P63263	Curved DNA-binding protein	Other	Oth
P63423	Acetyltransferase YpeA (EC 2.3.1.-)	Translation and protein homeostasis	Rib
P63727	Soluble cytochrome b562 (Cytochrome b-562)	Electron Transport chain	Etc
P63993	Disulfide bond formation protein B (Disulfide oxidoreductase)	Translation and protein homeostasis	Rib
P64046	Elongation factor protein EfpL	Translation and protein homeostasis	Rib
P64052	Elongation factor Ts (EF-Ts)	Translation and protein homeostasis	Rib
P64068	Probable GTP-binding protein EngB	Translation and protein homeostasis	Rib
P64095	Protein FixB	Electron Transport chain	Etc
P64162	Cell division protein FtsB	Lipid and cell wall metabolism	Lpb
P64237	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	Translation and protein homeostasis	Rib
P64281	Transcription elongation factor GreA (Transcript cleavage factor GreA)	Translation and protein homeostasis	Rib
P64413	Nickel-responsive regulator	Other	Oth
P64419	Hydrogenase maturation factor HypA	Electron Transport chain	Etc
P64421	Hydrogenase maturation factor HybF	Electron Transport chain	Etc
P65197	Inner membrane-spanning protein YciB	Other	Oth
P65207	2-keto-3-deoxygluconate permease 1 (KDG permease 1)	Transport	Tra
P65363	Cell division topological specificity factor	Lipid and cell wall metabolism	Lpb
P65540	Ion-translocating oxidoreductase complex subunit E (EC 7.-.-.-) (Rsx electron Transport complex subunit E)	Electron Transport chain	Etc
P65542	Ion-translocating oxidoreductase complex subunit A (EC 7.-.-.-) (Rsx electron Transport complex subunit A)	Electron Transport chain	Etc
P65559	Uncharacterized Nudix hydrolase YfcD (EC 3.6.-.-)	Other	Oth
P65960	UPF0758 protein YicR	Other	Oth
P65973	Recombination-associated protein RdgC	Other	Oth
P66686	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	Translation and protein homeostasis	Rib
P66738	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	Translation and protein homeostasis	Rib
P67179	Probable transcriptional regulatory protein YebC	Other	Oth
P67218	Ribosome maturation factor RimP	Translation and protein homeostasis	Rib
P67246	Ribosome rescue factor SmrB (EC 3.1.-.-)	Translation and protein homeostasis	Rib
P67270	GTP cyclohydrolase 1 type 2 homolog	Carbon metabolism	Cbn
P67481	DNA gyrase inhibitor YacG	Other	Oth
P67557	Glucans biosynthesis protein G	Lipid and cell wall metabolism	Lpb
P67605	Pole-localizer protein TmaR	Other	Oth
P67617	Probable Fe(2+)-trafficking protein	Electron Transport chain	Etc
P67649	ATP-dependent Clp protease adapter protein ClpS	Translation and protein homeostasis	Rib
P67651	Regulator of ribonuclease activity A	Translation and protein homeostasis	Rib
P67686	Universal stress protein B	Other	Oth
P67688	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	Translation and protein homeostasis	Rib
P67693	Cell division protein ZapD (Z ring-associated protein D)	Lipid and cell wall metabolism	Lpb
P67710	Transcriptional regulator MntR (Manganese Transport regulator)	Other	Oth
P67714	Nucleoid-associated protein YejK	Other	Oth
P67735	HTH-type transcriptional repressor NanR	Other	Oth
P69226	Translation initiation factor IF-1	Translation and protein homeostasis	Rib
P69343	Invasion protein InvF (Transcriptional regulator InvF)	Flagellum and motility including its regulation	Fla
Q06400	Probable Transporter YedE	Transport	Tra
Q08021	Uncharacterized N-acetyltransferase YjgM (EC 2.3.1.-)	Translation and protein homeostasis	Rib
Q08022	Inner membrane protein YjgN (ORF X)	Other	Oth
Q56017	Protein ApaG (Protein CorD)	Other	Oth
Q56030	Probable lipoprotein EnvE	Lipid and cell wall metabolism	Lpb
Q56032	Probable lipoprotein EnvF	Lipid and cell wall metabolism	Lpb
Q56072	Probable amino-acid metabolite efflux pump	Transport	Tra
Q56106	Lysine-N-methylase (EC 2.1.1.-) (Lysine N-methyltransferase)	Translation and protein homeostasis	Rib
Q56108	Glutaredoxin-like protein NrdH	Translation and protein homeostasis	Rib
Q56143	Regulatory protein SoxS	Other	Oth
Q7CP67	UPF0391 membrane protein YtjA	Other	Oth
Q7CP73	Multidrug resistance protein MdtM	Transport	Tra
Q7CP84	Metalloprotease PmbA	Translation and protein homeostasis	Rib
Q7CP88	Translocation and assembly module subunit TamA (AutoTransporter assembly factor TamA)	Lipid and cell wall metabolism	Lpb
Q7CP89	Polyamine export protein	Transport	Tra
Q7CP91	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	Translation and protein homeostasis	Rib
Q7CP93	HTH-type transcriptional regulator UlaR	Other	Oth
Q7CP96	Protein HflC	Translation and protein homeostasis	Rib
Q7CP98	Guanidinium exporter	Transport	Tra
Q7CPA2	Divalent-cation tolerance protein CutA	Other	Oth
Q7CPB8	HTH-type transcriptional repressor FabR	Other	Oth
Q7CPB9	Morphology and auto-aggregation control protein	Other	Oth
Q7CPC1	HTH-type transcriptional repressor CytR	Other	Oth
Q7CPC7	Probable acyltransferase FabY	Lipid and cell wall metabolism	Lpb
Q7CPD8	Macrodomain Ori protein	Other	Oth
Q7CPE7	Phosphate-specific Transport system accessory protein PhoU	Other	Oth
Q7CPE9	Cytochrome c peroxidase (EC 1.11.1.5)	Electron Transport chain	Etc
Q7CPF1	Small heat shock protein IbpA (16 kDa heat shock protein A)	Translation and protein homeostasis	Rib
Q7CPG0	Purine ribonucleoside efflux pump NepI	Transport	Tra
Q7CPH1	GPH family Transport protein	Transport	Tra
Q7CPH3	Probable endoribonuclease YicC (EC 3.1.26.-)	Translation and protein homeostasis	Rib
Q7CPH7	Glutaredoxin	Translation and protein homeostasis	Rib
Q7CPI0	Mannitol operon repressor (Mannitol repressor protein)	Other	Oth
Q7CPI5	Outer membrane lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CPI7	Cellulose biosynthesis protein BcsG	Lipid and cell wall metabolism	Lpb
Q7CPI8	Cellulose biosynthesis protein BcsF	Lipid and cell wall metabolism	Lpb
Q7CPJ2	Phosphate Transporter	Transport	Tra
Q7CPJ4	Probable queuosine precursor Transporter (Q precursor Transporter)	Transport	Tra
Q7CPJ7	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	Other	Oth
Q7CPK2	Quercetin 2,3-dioxygenase (EC 1.13.11.24) (Pirin-like protein YhhW)	Carbon metabolism	Cbn
Q7CPK3	HTH-type transcriptional regulator GntR (Gluconate utilization system GNT-I transcriptional repressor)	Other	Oth
Q7CPK5	Probable [Fe-S]-dependent transcriptional repressor	Other	Oth
Q7CPK6	Fe(2+) Transport protein A (Ferrous iron Transport protein A)	Transport	Tra
Q7CPL9	Methyltransferase (EC 2.1.1.-)	Translation and protein homeostasis	Rib
Q7CPM3	Rod shape-determining protein MreD	Lipid and cell wall metabolism	Lpb
Q7CPM4	Ribonuclease G	Translation and protein homeostasis	Rib
Q7CPM8	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	Transport	Tra
Q7CPN3	Serine endoprotease DegS (EC 3.4.21.107) (Site-1 protease DegS) (Site-1-type intramembrane protease)	Translation and protein homeostasis	Rib
Q7CPN4	Stringent starvation protein B	Other	Oth
Q7CPP0	Lipopolysaccharide export system protein LptC	Lipid and cell wall metabolism	Lpb
Q7CPP8	RNA-binding protein YhbY	Translation and protein homeostasis	Rib
Q7CPQ1	Lipoprotein NlpI	Lipid and cell wall metabolism	Lpb
Q7CPS6	Biopolymer Transport protein ExbD	Transport	Tra
Q7CPS9	4Fe-4S ferredoxin-type domain-containing protein	Electron Transport chain	Etc
Q7CPT0	Hydrogenase maturation factor HybG	Electron Transport chain	Etc
Q7CPT9	MFS family galactose:proton symporter	Transport	Tra
Q7CPU3	Zn-dependent proteases with possible chaperone function	Translation and protein homeostasis	Rib
Q7CPU7	Small-conductance mechanosensitive channel	Transport	Tra
Q7CPU9	Cell division protein ZapA (Z ring-associated protein ZapA)	Lipid and cell wall metabolism	Lpb
Q7CPV1	FAD assembly factor SdhE	Electron Transport chain	Etc
Q7CPV2	Antitoxin VapB	Translation and protein homeostasis	Rib
Q7CPV3	Transcriptional repressor RcnR	Other	Oth
Q7CPV9	Glycine cleavage system transcriptional activator (Gcv operon activator)	Carbon metabolism	Cbn
Q7CPW2	L-fucose operon activator	Other	Oth
Q7CPW8	3-oxo-tetronate 4-phosphate decarboxylase (EC 4.1.1.104)	Carbon metabolism	Cbn
Q7CPX9	Hydrogenase maturation factor HypC	Electron Transport chain	Etc
Q7CPY1	Formate hydrogenlyase subunit 2 (Hydrogenase-3 component B)	Electron Transport chain	Etc
Q7CPY6	Membrane-bound lytic murein transglycosylase B (EC 3.2.1.-)	Lipid and cell wall metabolism	Lpb
Q7CPZ3	Outer membrane protein assembly factor BamE	Lipid and cell wall metabolism	Lpb
Q7CPZ4	Protein GrpE (HSP-70 cofactor)	Translation and protein homeostasis	Rib
Q7CQ04	tRNA/rRNA methyltransferase (EC 2.1.1.-)	Translation and protein homeostasis	Rib
Q7CQ05	Autonomous glycyl radical cofactor	Carbon metabolism	Cbn
Q7CQ10	HTH-type transcriptional regulator IscR	Other	Oth
Q7CQ11	Iron-sulfur cluster assembly scaffold protein IscU	Electron Transport chain	Etc
Q7CQ12	Iron-binding protein IscA (Iron-sulfur cluster assembly protein)	Electron Transport chain	Etc
Q7CQ14	Protein IscX	Electron Transport chain	Etc
Q7CQ15	Ancillary SecYEG translocon subunit	Translation and protein homeostasis	Rib
Q7CQ21	DnaA regulatory inactivator Hda	Other	Oth
Q7CQ24	UPF0370 protein YpfN	Other	Oth
Q7CQ43	Phosphoesterase (EC 3.1.4.-)	Other	Oth
Q7CQ60	Chaperone NapD (NapA signal peptide-binding chaperone NapD)	Translation and protein homeostasis	Rib
Q7CQ98	tRNA hydroxylation protein P	Translation and protein homeostasis	Rib
Q7CQB1	APC family amino acid Transport protein	Transport	Tra
Q7CQC0	Aromatic amino acid permease	Transport	Tra
Q7CQC2	Bacterial non-heme ferritin-like protein	Other	Oth
Q7CQD5	PhoP/PhoQ regulator MgrB	Other	Oth
Q7CQD9	ATP-dependent DNA helicase YoaA (EC 5.6.2.3)	Other	Oth
Q7CQE8	Ribosome-binding ATPase YchF	Translation and protein homeostasis	Rib
Q7CQF1	Regulator of RpoS	Other	Oth
Q7CQG3	Peptidase (EC 3.4.21.-)	Translation and protein homeostasis	Rib
Q7CQG6	Lipopolysaccharide assembly protein B	Lipid and cell wall metabolism	Lpb
Q7CQH2	Membrane Transporter of cations	Transport	Tra
Q7CQI8	Acid stress chaperone HdeB	Translation and protein homeostasis	Rib
Q7CQJ0	Stationary-phase-induced ribosome-associated protein (SRA) (30S ribosomal protein S22)	Translation and protein homeostasis	Rib
Q7CQJ1	Peroxiredoxin OsmC (Osmotically-inducible protein C)	Translation and protein homeostasis	Rib
Q7CQJ9	Serine protease (EC 3.4.21.-)	Translation and protein homeostasis	Rib
Q7CQK4	Putative arginine/ornithine antiporter	Transport	Tra
Q7CQK5	Transcription modulator YdgT (H-NS/StpA-binding protein 2) (OriC-binding nucleoid-associated protein)	Other	Oth
Q7CQK9	Glutaredoxin	Translation and protein homeostasis	Rib
Q7CQL0	Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)	Lipid and cell wall metabolism	Lpb
Q7CQP4	Putative NAD(P)H nitroreductase (EC 1.-.-.-)	Carbon metabolism	Cbn
Q7CQP8	Leucine efflux protein	Transport	Tra
Q7CQR0	Purine nucleoside phosphoramidase (Histidine triad nucleotide binding protein HinT)	Carbon metabolism	Cbn
Q7CQR9	Probable phosphatase YcdX (EC 3.1.3.-)	Other	Oth
Q7CQT0	Heat shock protein HspQ	Translation and protein homeostasis	Rib
Q7CQT6	tRNA 5-carboxymethoxyuridine methyltransferase (EC 2.1.1.-) (cmo5U methyltransferase)	Translation and protein homeostasis	Rib
Q7CQU0	Formate Transporter FocA	Transport	Tra
Q7CQU4	Replication-associated recombination protein A	Other	Oth
Q7CQU7	Cold shock-like protein CspD	Translation and protein homeostasis	Rib
Q7CQV7	Periplasmic protein	Other	Oth
Q7CQV8	Outer membrane protein X	Lipid and cell wall metabolism	Lpb
Q7CQW8	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	Transport	Tra
Q7CQW9	Peptidoglycan-associated lipoprotein (PAL)	Lipid and cell wall metabolism	Lpb
Q7CQX0	Tol-Pal system protein TolR	Lipid and cell wall metabolism	Lpb
Q7CQX1	Tol-Pal system protein TolQ	Lipid and cell wall metabolism	Lpb
Q7CQY0	Dipeptide permease D	Transport	Tra
Q7CQY1	Negative modulator of initiation of replication	Other	Oth
Q7CQZ2	Ribosomal silencing factor RsfS	Translation and protein homeostasis	Rib
Q7CQZ7	Regulator of nucleoside diphosphate kinase	Other	Oth
Q7CR05	Bactoprenol-linked glucose translocase	Lipid and cell wall metabolism	Lpb
Q7CR18	DNA base-flipping protein (Alkyltransferase-like protein ATL)	Other	Oth
Q7CR19	Ammonium Transporter	Transport	Tra
Q7CR20	Nitrogen regulatory protein P-II 1	Other	Oth
Q7CR24	Uncharacterized protein YbaV	Other	Oth
Q7CR30	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons	Other	Oth
Q7CR42	Alkyl hydroperoxide reductase protein C22 (Thioredoxin peroxidase)	Translation and protein homeostasis	Rib
Q7CR46	Anti-adapter protein IraP	Other	Oth
Q7CR54	Periplasmic protein	Other	Oth
Q7CR60	Membrane-bound lytic murein transglycosylase D (EC 4.2.2.n1) (Murein hydrolase D) (Regulatory protein DniR)	Lipid and cell wall metabolism	Lpb
Q7CR66	Iron-sulfur cluster insertion protein ErpA	Electron Transport chain	Etc
Q7CR80	Cell division protein FtsA	Lipid and cell wall metabolism	Lpb
Q7CR84	Cell division protein FtsL	Lipid and cell wall metabolism	Lpb
Q7CR86	Co-chaperone protein DjlA	Translation and protein homeostasis	Rib
Q7CR92	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	Translation and protein homeostasis	Rib
Q7CR95	Transcriptional activator protein NhaR (Na(+)/H(+) antiporter regulatory protein)	Other	Oth
Q7CR96	5'-nucleotidase	Carbon metabolism	Cbn
Q7CRA3	thr operon leader peptide (thr operon attenuator)	Translation and protein homeostasis	Rib
Q7DAN4	Fertility inhibition protein (Conjugal transfer repressor)	Other	Oth
Q8XFG8	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	Translation and protein homeostasis	Rib
Q8XFS5	Lipopolysaccharide assembly protein A	Lipid and cell wall metabolism	Lpb
Q8XGT7	Cytochrome c-type biogenesis protein	Electron Transport chain	Etc
Q8ZJV0	Protein Smp	Other	Oth
Q8ZJX4	Probable succinate Transporter subunit YjjB	Transport	Tra
Q8ZJX5	Replicative helicase loader DnaC (DNA replication protein DnaC)	Other	Oth
Q8ZJY8	Endonuclease R (EC 3.1.21.3)	Other	Oth
Q8ZJY9	Endoribonuclease SymE (EC 3.1.-.-)	Translation and protein homeostasis	Rib
Q8ZK08	Probable transcriptional regulatory protein YeeN	Other	Oth
Q8ZK12	site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	Other	Oth
Q8ZK23	5-keto-D-gluconate 5-reductase (EC 1.1.1.69)	Carbon metabolism	Cbn
Q8ZK37	Arginine repressor	Other	Oth
Q8ZK71	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	Translation and protein homeostasis	Rib
Q8ZK76	Iron-sulfur cluster repair protein YtfE	Electron Transport chain	Etc
Q8ZKA2	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB (EC 2.1.1.185) (23S rRNA (guanosine2251 2'-O)-methyltransferase) (23S rRNA Gm2251 2'-O-methyltransferase)	Translation and protein homeostasis	Rib
Q8ZKA4	Protein HflK	Translation and protein homeostasis	Rib
Q8ZKA6	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE)	Translation and protein homeostasis	Rib
Q8ZKB2	Periplasmic binding protein	Transport	Tra
Q8ZKB5	Outer membrane lipoprotein Blc	Lipid and cell wall metabolism	Lpb
Q8ZKC2	C4-dicarboxylate Transporter	Transport	Tra
Q8ZKE9	Proton/glutamate-aspartate symporter	Transport	Tra
Q8ZKF1	Formate-dependent nitrite reductase complex subunit	Electron Transport chain	Etc
Q8ZKF3	Thiosulfate reductase electron transfer subunit PhsB (Thiosulfate reductase subunit beta)	Electron Transport chain	Etc
